date,year,month,month_name,day,precipitation_mm,station,latitude,longitude,source
2015-07-06,2015,7,Jul,6,1.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-07,2015,7,Jul,7,2.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-08,2015,7,Jul,8,2.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-09,2015,7,Jul,9,2.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-10,2015,7,Jul,10,21.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-11,2015,7,Jul,11,29.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-12,2015,7,Jul,12,2.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-13,2015,7,Jul,13,2.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-14,2015,7,Jul,14,2.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-15,2015,7,Jul,15,7.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-16,2015,7,Jul,16,3.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-17,2015,7,Jul,17,16.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-18,2015,7,Jul,18,2.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-19,2015,7,Jul,19,8.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-20,2015,7,Jul,20,1.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-21,2015,7,Jul,21,8.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-22,2015,7,Jul,22,24.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-23,2015,7,Jul,23,5.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-24,2015,7,Jul,24,11.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-25,2015,7,Jul,25,5.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-26,2015,7,Jul,26,6.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-27,2015,7,Jul,27,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-28,2015,7,Jul,28,1.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-29,2015,7,Jul,29,1.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-30,2015,7,Jul,30,1.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-07-31,2015,7,Jul,31,1.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-01,2015,8,Aug,1,2.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-02,2015,8,Aug,2,4.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-03,2015,8,Aug,3,10.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-04,2015,8,Aug,4,7.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-05,2015,8,Aug,5,8.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-06,2015,8,Aug,6,1.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-07,2015,8,Aug,7,1.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-08,2015,8,Aug,8,4.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-09,2015,8,Aug,9,7.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-10,2015,8,Aug,10,14.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-11,2015,8,Aug,11,2.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-12,2015,8,Aug,12,2.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-13,2015,8,Aug,13,1.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-14,2015,8,Aug,14,0.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-08-15,2015,8,Aug,15,3.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
